embedding_x,embedding_y
-6.068001,22.610088
-4.1039734,23.12678
-5.1923723,22.915712
-6.7564197,2.6298287
-1.1770313,-0.17051591
-3.9928071,22.017
-8.411985,23.607037
-4.0644794,-8.39132
-8.014075,23.777878
2.4022098,-6.5386586
14.2880335,4.2971487
-7.6152697,3.1963735
-9.826604,23.844622
-1.729421,-0.27117997
-5.507531,22.819752
-9.487486,24.001757
4.0775137,-0.24332973
-7.6117268,2.8496823
20.309877,9.016261
-9.193288,23.830479
-9.107752,23.778816
-9.41428,2.7654078
-4.1154833,21.933855
-2.7569413,13.414573
-8.605205,23.622543
20.313658,9.02577
5.6739006,17.958883
-2.9807978,-1.2621647
-2.029763,15.912725
7.416553,23.010567
-7.9217114,22.006727
-2.4144568,15.124134
-3.7138903,-2.4911513
16.29265,4.3900676
-6.1371107,2.2139156
-2.9205945,13.271147
-9.506463,23.993698
-1.9005036,13.771077
-8.666708,23.270134
-4.264984,15.433409
-3.3064055,12.930771
-2.9595187,23.08528
-10.014704,20.623362
-2.7846074,1.3790939
-2.4406157,-2.1272678
-2.3402479,-1.9659607
10.829936,15.213211
-9.509881,24.016588
-2.5814674,15.2149515
-1.8693287,16.437738
-2.6783557,-2.3915439
2.346534,-10.565302
17.079823,0.7690347
10.095547,25.486048
0.3427773,21.647255
4.2426033,-0.6700647
19.743574,2.2910752
6.531474,18.543592
10.054357,25.526459
-1.3717345,-0.1978447
-12.456492,4.1632514
2.3775032,-6.5695577
13.924018,-3.5772483
3.1933246,1.2923163
4.787636,-12.610422
11.273143,8.942466
-9.505674,24.01564
-2.344525,15.600091
-9.429481,23.985886
-6.459985,22.044657
-8.495564,23.572613
-8.225205,22.801933
20.31609,9.035293
4.04141,-0.3539998
20.31367,9.0258045
13.749526,-3.7527704
-4.089374,23.11546
-9.1679735,23.801924
-7.463833,24.126896
-2.282852,-1.8935779
20.316113,9.035437
-4.3056264,22.874239
4.1838894,-0.50135255
10.250104,15.387956
-3.0933535,1.4183807
0.04685968,21.84353
9.218176,-8.134844
-2.8062181,-2.5446637
10.05774,25.523357
-1.5411267,22.263994
-3.955429,15.561269
-6.1999726,2.225484
-3.534326,12.589553
3.9488754,7.01833
-3.8655748,22.18837
16.29357,4.3958216
-9.407578,23.975483
-8.1617365,21.860357
-2.7726338,-2.5357227
-1.1860807,17.390652
-0.43711793,22.15991
5.345964,-0.40486762
11.242305,8.912847
-4.9451356,23.071985
10.144553,25.43997
-3.9215126,-8.103605
-3.6262183,23.157415
-0.47883728,22.103354
3.746949,7.3550186
20.31635,9.036414
-7.684186,23.239136
3.8021033,7.432055
19.86431,2.385374
20.313848,9.02625
9.471103,-8.339543
-5.2457185,22.94165
-3.3125012,12.927909
2.8809035,1.1939982
-9.118064,23.771338
-7.662265,23.21055
-8.328703,23.60928
-4.49839,21.01766
5.5511565,-11.287612
-3.3381624,20.553024
-3.9481444,14.702038
-8.159945,22.465485
-3.5927122,21.830173
20.313786,9.026167
6.522314,18.18245
6.5303946,18.553555
3.31059,1.3293508
-3.6006045,21.327843
12.013642,20.560373
16.707085,16.247372
15.713477,15.188378
-2.075185,1.4365432
-3.3837914,20.86683
3.7051337,7.1849327
4.2312427,-0.6376479
-1.5735463,14.435135
3.2394187,7.211406
-2.0646844,1.4250438
-0.20396602,21.917803
-3.8406315,21.906994
0.3969128,-6.100052
-0.026503632,21.861979
-4.0688367,23.16453
-3.3563995,20.81264
16.133875,15.409401
-1.8440808,13.7948885
-2.0887463,13.7639675
16.442507,14.13778
-7.589093,3.1983597
14.29691,4.2847524
-3.4627519,22.963318
-4.503651,0.039071742
10.251295,15.385566
2.5335963,19.186548
3.2327182,8.103362
3.7431521,7.332545
3.186592,7.180723
6.020058,17.97556
-3.6873338,21.70819
-1.4811574,13.931196
10.046053,25.535597
-2.0794892,1.4292274
-3.9415638,-9.047602
7.8697715,-4.16169
-4.99533,23.108461
-9.491249,23.891407
19.767056,2.314669
-8.598257,23.22251
-1.9452146,16.259098
-3.5247219,22.959108
-4.70518,23.631405
2.5412478,19.21465
19.657894,0.020008037
16.277946,4.380125
2.5804622,-6.4021816
-5.40025,22.939306
-4.2356944,-8.173738
-8.343378,23.604067
-1.6194607,22.39779
-4.719571,22.877344
-3.308056,-0.4315425
19.26884,1.6620598
5.641751,17.926573
-9.495498,24.011822
17.339684,0.8263562
-3.5894332,23.131927
-8.023278,21.908974
5.789713,-12.216685
20.317455,9.041803
-9.407664,23.953255
17.565754,0.78324777
-2.9941525,1.3092318
2.9442525,1.2212944
20.315966,9.034405
-2.1147168,1.4413118
5.931075,17.919199
20.313793,9.026127
-2.8954115,-2.612427
-10.029679,20.613777
-3.6804378,-2.6288433
-4.016584,21.966028
2.883651,1.1991842
-3.799919,22.763401
5.906905,-12.409927
-2.7682667,-2.52265
2.4212334,19.477434
-4.0618,22.957685
4.9987626,-12.388185
-6.7046614,2.4127624
7.9024806,3.728761
5.354377,-0.42922688
16.382307,16.340668
-5.7729464,22.761719
